58.218.205.102,"['TCP', 'SSH', 248]"
61.166.173.70,"['TCP', 'SSH', 2]"
197.243.40.110,"['TCP', 'SSH', 9]"
138.68.105.223,"['TCP', 'Ethernet IP', 2]"
180.153.19.139,"['TCP', 'SSH', 27]"
148.251.209.34,"['TCP', 'SSH', 2]"
158.85.76.3,"['TCP', 'SSH', 9773]"
101.251.201.248,"['TCP', 'SSH', 18]"
103.207.38.86,"['TCP', 'SSH', 6]"
52.172.202.136,"['TCP', 'SSH', 8394]"
89.87.178.129,"['TCP', 'SSH', 13]"
64.235.35.12,"['TCP', 'SSH', 9]"
117.240.199.21,"['TCP', 'SSH', 17]"
158.85.81.119,"['TCP', 'Ethernet IP', 11]"
23.88.61.246,"['TCP', 'SSH', 11]"
128.199.170.9,"['TCP', 'SSH', 12]"
117.78.43.214,"['TCP', 'SSH', 35]"
180.164.117.198,"['TCP', 'SSH', 2]"
70.35.194.157,"['TCP', 'SSH', 14]"
91.93.120.90,"['TCP', 'SSH', 17]"
213.120.170.33,"['TCP', 'SSH', 18]"
173.220.110.202,"['TCP', 'SSH', 13]"
203.214.65.55,"['TCP', 'SSH', 4]"
212.68.199.75,"['TCP', 'SSH', 11]"
221.229.166.86,"['TCP', 'SSH', 12]"
176.31.103.117,"['TCP', 'SSH', 17]"
78.24.185.21,"['ICMP', 'Destination Unreachable', 1]"
111.202.66.45,"['TCP', 'SSH', 69]"
201.238.172.163,"['TCP', 'SSH', 16]"
5.39.221.78,"['TCP', 'SSH', 6]"
34.194.175.204,"['TCP', 'SSH', 9]"
66.240.219.146,"['TCP', 'Niagara Fox', 12]"
190.197.53.146,"['TCP', 'SSH', 90]"
168.1.128.74,"['TCP', 'SSH', 2]"
36.39.158.81,"['TCP', 'SSH', 3]"
72.227.171.25,"['TCP', 'SSH', 11]"
185.55.218.26,"['TCP', 'SSH', 4]"
203.114.244.163,"['TCP', 'SSH', 42]"
71.192.13.74,"['TCP', 'SSH', 37]"
217.20.172.33,"['TCP', 'SSH', 13]"
183.59.159.42,"['TCP', 'SSH', 17]"
129.144.12.246,"['TCP', 'SSH', 447]"
175.6.27.49,"['TCP', 'SSH', 56]"
121.165.33.239,"['TCP', 'SSH', 61]"
114.251.41.30,"['TCP', 'SSH', 1286]"
176.121.10.52,"['TCP', 'SSH', 16]"
185.100.85.190,"['TCP', 'SSH', 16]"
51.15.53.83,"['TCP', 'SSH', 35]"
211.195.14.39,"['TCP', 'Ethernet IP', 24]"
86.205.94.36,"['TCP', 'SSH', 1]"
1.180.72.186,"['TCP', 'SSH', 4]"
217.72.73.2,"['TCP', 'SSH', 18]"
158.85.81.115,"['TCP', 'Ethernet IP', 8]"
14.215.237.205,"['TCP', 'SSH', 19]"
211.159.159.137,"['TCP', 'SSH', 41]"
180.166.77.181,"['TCP', 'SSH', 33]"
31.23.244.218,"['TCP', 'SSH', 2]"
87.120.255.131,"['TCP', 'SSH', 17]"
162.213.33.196,"['TCP', 'HTTPS', 391]"
118.26.135.175,"['TCP', 'SSH', 19]"
83.151.232.250,"['TCP', 'SSH', 9]"
208.180.231.14,"['TCP', 'SSH', 18]"
46.26.82.169,"['TCP', 'SSH', 17]"
13.93.210.251,"['TCP', 'SSH', 10]"
125.137.78.66,"['TCP', 'SSH', 48]"
201.59.41.82,"['TCP', 'SSH', 10]"
110.45.144.41,"['TCP', 'SSH', 44]"
153.201.42.207,"['TCP', 'SSH', 18]"
5.189.133.76,"['TCP', 'SSH', 21]"
45.33.69.25,"['TCP', 'BACnet', 167]"
24.232.75.217,"['TCP', 'SSH', 17]"
176.9.8.215,"['TCP', 'SSH', 17]"
211.233.58.239,"['TCP', 'SSH', 17]"
83.236.146.146,"['TCP', 'SSH', 10]"
190.95.162.186,"['TCP', 'SSH', 18]"
202.73.52.166,"['TCP', 'SSH', 17]"
45.77.92.22,"['TCP', 'SSH', 2]"
83.48.106.35,"['TCP', 'SSH', 52]"
54.169.117.133,"['TCP', 'HTTP', 10519]"
91.189.88.149,"['TCP', 'HTTP', 1393]"
185.107.94.40,"['TCP', 'SSH', 2]"
211.24.112.38,"['TCP', 'SSH', 51]"
27.102.203.180,"['TCP', 'SSH', 40]"
194.28.112.149,"['TCP', 'SSH', 3]"
125.75.207.25,"['TCP', 'SSH', 28]"
36.25.33.216,"['TCP', 'SSH', 2]"
181.222.216.82,"['TCP', 'SSH', 19]"
130.94.31.212,"['TCP', 'SSH', 17]"
78.47.62.164,"['TCP', 'SSH', 18]"
5.9.161.168,"['TCP', 'SSH', 14]"
162.213.26.226,"['TCP', 'SSH', 2]"
222.34.18.27,"['ICMP', 'Echo Request', 1]"
212.71.251.233,"['TCP', 'SSH', 47]"
203.59.21.132,"['TCP', 'SSH', 4]"
81.136.189.195,"['TCP', 'SSH', 20]"
180.76.135.75,"['TCP', 'SSH', 14]"
61.139.124.136,"['TCP', 'SSH', 87]"
164.132.50.118,"['TCP', 'SSH', 13]"
61.160.6.19,"['TCP', 'SSH', 2]"
182.100.67.118,"['TCP', 'SSH', 82]"
103.210.73.36,"['TCP', 'SSH', 17]"
104.236.231.109,"['TCP', 'SSH', 12]"
46.166.138.65,"['TCP', 'SSH', 17]"
116.87.232.207,"['TCP', 'SSH', 17]"
52.43.235.21,"['TCP', 'SSH', 4]"
46.21.151.94,"['ICMP', 'Echo Request', 1]"
93.115.136.156,"['TCP', 'SSH', 12]"
59.45.175.94,"['TCP', 'SSH', 1183]"
59.45.175.98,"['TCP', 'SSH', 1240]"
50.116.17.183,"['ICMP', 'Echo Request', 1]"
45.32.213.15,"['TCP', 'SSH', 7]"
121.18.238.125,"['TCP', 'SSH', 2490]"
59.45.175.96,"['TCP', 'SSH', 1339]"
35.188.148.107,"['TCP', 'SSH', 18]"
204.9.200.244,"['TCP', 'SSH', 17]"
77.226.237.119,"['TCP', 'SSH', 17]"
51.15.64.147,"['TCP', 'SSH', 2]"
60.165.208.28,"['TCP', 'SSH', 1664]"
77.72.82.183,"['TCP', 'SSH', 35]"
162.213.33.200,"['TCP', 'HTTPS', 388]"
96.4.217.2,"['TCP', 'SSH', 17]"
116.12.40.11,"['TCP', 'SSH', 11]"
111.127.117.3,"['TCP', 'SSH', 1]"
141.212.122.157,"['TCP', 'Niagara Fox', 2]"
141.212.122.156,"['TCP', 'Niagara Fox', 2]"
141.212.122.144,"['TCP', 'Modbus TCP', 4]"
23.97.61.78,"['TCP', 'SSH', 12]"
202.107.104.119,"['TCP', 'SSH', 27]"
83.15.214.194,"['TCP', 'SSH', 9]"
51.140.178.156,"['TCP', 'SSH', 75]"
104.193.9.102,"['TCP', 'SSH', 14]"
123.249.45.70,"['TCP', 'SSH', 17]"
186.248.145.170,"['TCP', 'SSH', 52]"
216.218.222.11,"['TCP', 'SSH', 32]"
197.231.221.211,"['TCP', 'SSH', 186]"
217.83.184.141,"['TCP', 'SSH', 28]"
189.31.21.20,"['TCP', 'SSH', 20]"
211.195.229.66,"['TCP', 'SSH', 51]"
172.104.94.121,"['ICMP', 'Echo Request', 1]"
60.2.76.134,"['TCP', 'SSH', 21]"
139.162.120.98,"['TCP', 'SSH', 22]"
139.162.122.110,"['TCP', 'SSH', 231]"
60.18.93.76,"['TCP', 'SSH', 6]"
148.163.99.172,"['TCP', 'SSH', 17]"
171.221.175.153,"['TCP', 'SSH', 36]"
211.111.250.183,"['TCP', 'SSH', 166]"
13.75.146.104,"['TCP', 'SSH', 10]"
61.181.173.66,"['TCP', 'SSH', 9]"
111.3.64.200,"['TCP', 'SSH', 2]"
79.61.51.195,"['TCP', 'SSH', 17]"
212.83.142.251,"['TCP', 'SSH', 24]"
202.53.173.1,"['TCP', 'SSH', 18]"
173.212.253.150,"['TCP', 'SSH', 4]"
66.212.178.98,"['TCP', 'SSH', 17]"
24.74.105.182,"['TCP', 'SSH', 28]"
5.188.10.245,"['TCP', 'Ethernet IP', 26]"
139.162.212.214,"['ICMP', 'Echo Request', 1]"
188.166.26.84,"['TCP', 'Niagara Fox', 1]"
213.251.184.35,"['TCP', 'SSH', 11]"
5.101.40.34,"['TCP', 'Ethernet IP', 16]"
118.89.23.180,"['TCP', 'SSH', 71]"
52.90.119.90,"['TCP', 'SSH', 9]"
222.190.125.18,"['ICMP', 'Echo Request', 1]"
95.95.112.12,"['TCP', 'SSH', 18]"
93.170.190.94,"['TCP', 'SSH', 18]"
89.218.47.11,"['TCP', 'SSH', 11]"
222.168.14.90,"['TCP', 'SSH', 17]"
123.150.200.121,"['TCP', 'SSH', 2]"
162.223.162.13,"['TCP', 'SSH', 9]"
123.129.218.64,"['TCP', 'SSH', 2]"
81.248.8.56,"['TCP', 'SSH', 69]"
51.15.222.124,"['TCP', 'SSH', 4]"
218.156.85.17,"['TCP', 'SSH', 107]"
172.96.140.98,"['TCP', 'SSH', 3]"
40.68.221.3,"['TCP', 'SSH', 10]"
47.88.230.33,"['ICMP', 'Echo Request', 1]"
31.192.108.150,"['TCP', 'SSH', 17]"
182.253.186.30,"['TCP', 'SSH', 7]"
180.150.224.3,"['TCP', 'SSH', 17]"
52.168.179.155,"['TCP', 'SSH', 9]"
189.240.98.230,"['TCP', 'SSH', 55]"
49.205.176.22,"['TCP', 'SSH', 10]"
190.242.59.251,"['TCP', 'SSH', 11]"
45.114.116.85,"['ICMP', 'Echo Request', 1]"
176.31.184.135,"['TCP', 'SSH', 11]"
159.203.244.103,"['TCP', 'SSH', 6]"
104.167.8.164,"['TCP', 'SSH', 17]"
113.230.62.24,"['TCP', 'SSH', 2]"
123.206.71.251,"['TCP', 'SSH', 17]"
115.236.27.170,"['TCP', 'SSH', 97]"
65.111.164.93,"['TCP', 'SSH', 4]"
197.13.2.204,"['TCP', 'SSH', 17]"
103.241.147.134,"['TCP', 'SSH', 51]"
110.45.144.200,"['TCP', 'SSH', 18]"
165.227.179.45,"['TCP', 'SSH', 20]"
212.15.8.35,"['TCP', 'SSH', 17]"
79.178.15.157,"['TCP', 'SSH', 18]"
202.74.232.191,"['TCP', 'SSH', 2]"
82.202.219.154,"['TCP', 'SSH', 2]"
46.183.218.199,"['TCP', 'SSH', 8]"
163.172.223.87,"['TCP', 'SSH', 7]"
176.126.252.11,"['TCP', 'SSH', 80]"
162.247.72.27,"['TCP', 'SSH', 16]"
14.134.19.1,"['TCP', 'Modbus TCP', 3]"
106.186.20.22,"['TCP', 'IEC 61850 MMS and Siemens S7', 2]"
14.134.18.222,"['TCP', 'IEC 61850 MMS and Siemens S7', 24]"
106.186.33.67,"['TCP', 'IEC 61850 MMS and Siemens S7', 6]"
103.212.222.138,"['TCP', 'SSH', 22]"
177.66.240.198,"['TCP', 'SSH', 18]"
212.57.42.239,"['TCP', 'SSH', 1062]"
112.5.140.230,"['TCP', 'SSH', 4]"
183.1.215.120,"['TCP', 'SSH', 2]"
106.38.3.253,"['TCP', 'SSH', 23]"
111.204.176.252,"['TCP', 'SSH', 41]"
168.1.128.38,"['TCP', 'Ethernet IP', 8]"
13.82.104.108,"['TCP', 'SSH', 12]"
71.6.146.130,"['TCP', 'Ethernet IP', 19]"
54.179.137.100,"['TCP', 'HTTP', 45454]"
91.102.225.109,"['TCP', 'SSH', 18]"
5.144.2.234,"['TCP', 'SSH', 24]"
191.96.70.108,"['ICMP', 'Echo Request', 1]"
185.165.29.50,"['TCP', 'SSH', 7]"
115.216.154.156,"['TCP', 'SSH', 1]"
177.135.69.44,"['TCP', 'SSH', 18]"
46.48.125.162,"['TCP', 'SSH', 12]"
188.0.77.124,"['TCP', 'Ethernet IP', 12]"
188.166.251.224,"['TCP', 'SSH', 23]"
93.91.129.101,"['TCP', 'SSH', 18]"
209.141.61.100,"['TCP', 'SSH', 41]"
183.136.188.116,"['TCP', 'SSH', 60]"
78.128.211.147,"['TCP', 'SSH', 14]"
59.90.210.99,"['TCP', 'SSH', 11]"
116.236.196.134,"['TCP', 'SSH', 17]"
101.236.24.78,"['TCP', 'SSH', 17]"
163.172.218.10,"['TCP', 'SSH', 3]"
201.20.116.124,"['TCP', 'SSH', 52]"
31.148.193.2,"['TCP', 'SSH', 62]"
149.56.96.231,"['TCP', 'SSH', 35]"
52.170.36.213,"['TCP', 'SSH', 46]"
85.222.46.201,"['TCP', 'SSH', 9]"
188.166.232.218,"['TCP', 'SSH', 12]"
185.129.148.168,"['TCP', 'SSH', 30]"
187.5.6.136,"['TCP', 'SSH', 19]"
94.177.217.54,"['TCP', 'SSH', 9]"
122.112.213.173,"['TCP', 'SSH', 13]"
95.109.106.127,"['TCP', 'SSH', 3]"
203.116.81.34,"['TCP', 'SSH', 28]"
128.8.126.238,"['ICMP', 'Echo Request', 1]"
182.150.37.49,"['TCP', 'SSH', 18]"
218.60.136.94,"['TCP', 'SSH', 68]"
177.185.91.133,"['TCP', 'SSH', 5]"
208.100.26.228,"['TCP', 'SSH', 3]"
110.45.147.67,"['TCP', 'SSH', 17]"
35.202.93.146,"['TCP', 'SSH', 1]"
178.79.141.130,"['TCP', 'Niagara Fox', 1]"
58.53.144.43,"['TCP', 'SSH', 18]"
77.247.181.163,"['TCP', 'SSH', 16]"
199.87.154.255,"['TCP', 'SSH', 32]"
171.25.193.77,"['TCP', 'SSH', 39]"
107.161.88.35,"['ICMP', 'Echo Request', 1]"
221.0.194.22,"['TCP', 'SSH', 25]"
163.172.112.193,"['TCP', 'SSH', 7]"
144.123.92.125,"['TCP', 'SSH', 2]"
63.251.115.100,"['TCP', 'SSH', 17]"
60.191.105.10,"['ICMP', 'Echo Request', 1]"
119.193.179.31,"['TCP', 'SSH', 54]"
101.80.222.165,"['TCP', 'SSH', 1]"
139.162.189.5,"['ICMP', 'Echo Request', 1]"
60.219.27.54,"['TCP', 'SSH', 54]"
104.52.24.81,"['TCP', 'SSH', 38]"
182.61.116.4,"['TCP', 'SSH', 55]"
119.195.208.150,"['TCP', 'SSH', 29]"
13.93.219.82,"['TCP', 'SSH', 17]"
141.212.122.191,"['TCP', 'SSH', 2]"
141.212.122.192,"['TCP', 'SSH', 2]"
141.212.122.176,"['TCP', 'SSH', 45]"
5.188.10.182,"['TCP', 'SSH', 3478]"
128.199.214.32,"['TCP', 'SSH', 12]"
139.219.99.220,"['TCP', 'SSH', 137]"
139.59.105.54,"['TCP', 'SSH', 2]"
222.239.91.173,"['TCP', 'SSH', 1]"
59.7.148.49,"['TCP', 'SSH', 63]"
87.246.209.51,"['TCP', 'Ethernet IP', 3]"
198.20.99.130,"['TCP', 'Niagara Fox', 7]"
121.194.2.247,"['TCP', 'SSH', 5]"
45.114.141.153,"['TCP', 'SSH', 52]"
106.39.93.84,"['TCP', 'Ethernet IP', 12]"
177.66.167.206,"['TCP', 'SSH', 11]"
95.85.49.88,"['TCP', 'SSH', 1]"
12.122.148.181,"['ICMP', 'Time Exceeded', 1]"
64.106.177.249,"['TCP', 'SSH', 18]"
191.96.112.114,"['TCP', 'SSH', 7]"
114.251.39.161,"['TCP', 'SSH', 51]"
59.16.74.234,"['TCP', 'SSH', 61]"
213.181.208.185,"['TCP', 'SSH', 23]"
114.86.95.184,"['TCP', 'SSH', 3]"
106.75.84.197,"['TCP', 'SSH', 4]"
117.50.7.159,"['TCP', 'SSH', 10]"
61.149.253.10,"['TCP', 'SSH', 17]"
80.211.135.24,"['TCP', 'SSH', 2]"
111.47.243.184,"['TCP', 'SSH', 17]"
139.162.65.76,"['TCP', 'IEC 61850 MMS and Siemens S7', 26]"
139.162.99.243,"['TCP', 'IEC 61850 MMS and Siemens S7', 365]"
185.35.62.56,"['TCP', 'Modbus TCP', 1]"
118.187.32.66,"['TCP', 'SSH', 20]"
71.6.216.46,"['TCP', 'SSH', 2]"
209.126.136.6,"['TCP', 'SSH', 12]"
185.35.63.36,"['TCP', 'Modbus TCP', 5]"
187.51.2.194,"['TCP', 'SSH', 17]"
61.166.241.195,"['TCP', 'SSH', 12]"
160.202.161.29,"['TCP', 'SSH', 51]"
41.84.228.98,"['TCP', 'SSH', 2]"
123.207.228.108,"['TCP', 'SSH', 40]"
168.1.128.34,"['TCP', 'Ethernet IP', 3]"
73.4.214.177,"['TCP', 'SSH', 12]"
186.42.237.187,"['TCP', 'SSH', 2]"
163.172.184.98,"['TCP', 'SSH', 2]"
87.120.255.141,"['TCP', 'SSH', 9]"
158.85.81.117,"['ICMP', 'Echo Request', 1]"
182.93.86.116,"['TCP', 'SSH', 17]"
52.53.179.103,"['TCP', 'SSH', 46]"
219.74.45.45,"['TCP', 'SSH', 15]"
78.138.91.63,"['TCP', 'SSH', 7]"
104.236.152.132,"['TCP', 'SSH', 1]"
106.39.70.219,"['TCP', 'SSH', 34]"
221.182.183.146,"['TCP', 'SSH', 14]"
185.35.62.157,"['TCP', 'Niagara Fox', 1]"
106.39.41.152,"['TCP', 'SSH', 772]"
202.144.50.87,"['TCP', 'SSH', 17]"
211.252.87.218,"['TCP', 'SSH', 47]"
185.35.63.1,"['TCP', 'Niagara Fox', 4]"
202.108.211.46,"['TCP', 'SSH', 18]"
31.186.3.51,"['TCP', 'SSH', 85]"
89.248.172.16,"['TCP', 'Ethernet IP', 34]"
181.24.8.224,"['TCP', 'SSH', 1]"
200.204.174.163,"['TCP', 'SSH', 18]"
58.242.83.20,"['TCP', 'SSH', 14]"
148.72.251.166,"['TCP', 'SSH', 14]"
155.4.230.97,"['TCP', 'SSH', 16]"
176.126.252.12,"['TCP', 'SSH', 53]"
144.217.240.34,"['TCP', 'SSH', 16]"
180.169.222.151,"['ICMP', 'Destination Unreachable', 1]"
114.141.132.53,"['TCP', 'Ethernet IP', 2]"
141.212.122.73,"['TCP', 'IEC 61850 MMS and Siemens S7', 2]"
141.212.122.64,"['TCP', 'IEC 61850 MMS and Siemens S7', 9]"
218.87.109.156,"['TCP', 'SSH', 12]"
121.135.212.206,"['TCP', 'SSH', 18]"
42.62.1.68,"['TCP', 'DNP3', 3]"
8.40.247.4,"['TCP', 'SSH', 25]"
196.52.43.52,"['ICMP', 'Echo Request', 1]"
159.203.41.241,"['TCP', 'SSH', 11]"
183.131.80.145,"['TCP', 'Ethernet IP', 2]"
101.79.44.115,"['TCP', 'SSH', 18]"
125.137.81.172,"['TCP', 'SSH', 39]"
40.68.102.55,"['TCP', 'SSH', 17]"
114.207.154.2,"['TCP', 'SSH', 28]"
115.231.9.73,"['TCP', 'SSH', 28]"
221.194.44.160,"['TCP', 'SSH', 4]"
180.151.1.114,"['TCP', 'SSH', 53]"
201.179.146.18,"['TCP', 'SSH', 1]"
81.82.245.75,"['ICMP', 'Echo Request', 1]"
185.165.120.1,"['TCP', 'SSH', 2]"
165.227.49.159,"['TCP', 'SSH', 2]"
103.19.255.181,"['TCP', 'SSH', 17]"
115.112.73.90,"['ICMP', 'Echo Request', 1]"
119.31.126.93,"['TCP', 'SSH', 17]"
187.12.219.98,"['TCP', 'SSH', 52]"
212.83.141.38,"['TCP', 'SSH', 18]"
61.54.6.144,"['TCP', 'SSH', 17]"
46.101.240.34,"['TCP', 'Modbus TCP', 1]"
193.151.197.110,"['TCP', 'SSH', 54]"
181.214.87.239,"['TCP', 'Ethernet IP', 6]"
217.133.55.140,"['TCP', 'SSH', 25]"
82.202.226.40,"['TCP', 'SSH', 11]"
218.2.0.29,"['TCP', 'Ethernet IP', 19]"
119.247.10.70,"['TCP', 'SSH', 17]"
93.64.209.250,"['TCP', 'SSH', 14]"
181.143.226.67,"['TCP', 'SSH', 22]"
123.127.58.195,"['TCP', 'SSH', 18]"
158.69.201.168,"['TCP', 'SSH', 17]"
79.61.223.177,"['TCP', 'SSH', 20]"
52.175.212.212,"['TCP', 'SSH', 20]"
197.254.37.114,"['TCP', 'SSH', 20]"
51.255.167.195,"['TCP', 'SSH', 14]"
84.200.84.59,"['ICMP', 'Destination Unreachable', 1]"
125.252.64.135,"['TCP', 'SSH', 17]"
155.133.64.47,"['TCP', 'SSH', 17]"
71.40.28.71,"['TCP', 'SSH', 11]"
58.162.146.80,"['TCP', 'SSH', 31]"
117.78.45.117,"['TCP', 'SSH', 50]"
58.61.154.229,"['TCP', 'SSH', 2]"
181.20.251.228,"['TCP', 'SSH', 1]"
